,IDLink,Title,Headline,sentiment,episodic,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn,status,Hour
112,96937,"3 months later, Congress ready to act on Obama's call to battle Zika","Obama requested $1.9 billion three months ago for several purposes, including creating a vaccine for the disease, taking steps to control the",0,0,PBS NewsHour,obama,5/16/16 20:35,0.112011966,0.190940654,27,0,1,public,20
113,73261,"In Hebron, A City Hit Hard By Violence, A Palestinian Preaches ...","It's long been a place filled with friction, and over the past three months, nearly one out of three Palestinian attacks have taken place here,",0,0,NPR,palestine,1/10/16 0:00,-0.289909824,-0.2375,-1,-1,-1,public,0
114,84317,Obama To Nominate Judge Merrick Garland To Fill Supreme Court Vacancy,President Obama said Wednesday he would nominate Judge Merrick Garland to fill the Supreme Court vacancy left when Justice Antonin Scalia died. We learn more about Garland and his judicial record. ,0,1,NPR,obama,3/16/16 14:16,0.298370601,0.470715562,13,0,2,public,14
115,82495,Obama Considers Candidates To Fill Supreme Court Vacancy,President Obama has begun interviewing candidates to fill the Supreme Court vacancy left by the late Justice Antonin Scalia. ,0,1,NPR,obama,3/9/16 3:05,0.217288021,0.047794945,11,0,2,public,3
116,74995,Ted Cruz says Barack Obama 'dramatically degraded our military',"Has Obama slashed the military during his tenure? We found that Congress shoulders a good deal of the responsibility, and Obama has",-1,0,PolitiFact,obama,1/29/16 4:25,0,0.079950269,1088,2,0,public,4
117,102817,Experts weigh in on the validity of Obama's immigration executive ...,The Supreme Court's deadlock on President Obama's executive action preventing deportation of unauthorized immigrants represents the latest,0,0,PBS NewsHour,obama,6/24/16 1:20,-0.039528471,-0.098530098,19,0,0,public,1
118,102625,"Congress, Obama find accord on regulation of household chemicals","President Obama reached a rare agreement with Congress on a new law to regulate toxic household chemicals. The legislation, signed",0,1,PBS NewsHour,obama,6/23/16 1:00,-0.052083333,-0.256216122,158,1,0,public,1
119,78062,Obama To Nominate A Candidate To Fill Scalia's Empty Chair,"The Supreme Court has been closely divided, 5-4, on major social issues for years. With Justice Scalia's death, the White House has a chance",0,1,NPR,obama,2/15/16 10:15,0.065880785,0.190414205,15,0,4,public,10
120,29169,News Wrap: US economy stays strong despite global slowdown,"In our news wrap Friday, despite global economic slowdown, the U.S. economy added 242,000 jobs in February and kept unemployment",1,0,PBS NewsHour,economy,3/5/16 1:11,0,-0.174692811,10,0,0,public,1
121,53835,Our zeal for antibiotics in agriculture could become an economic ...,A display of MRSA bacteria strain inside a petri dish containing agar jelly for bacterial culture in a microbiological laboratory. MRSA is a,0,0,PBS NewsHour,economy,6/2/16 18:00,0.079056942,-0.029322339,54,2,0,public,18
122,65593,President Obama Delivers A Rare Oval Office Address,The president will address the nation on the threat of terrorism after recent shootings. Rachel Martin speaks with National Political,0,1,NPR,obama,12/6/15 13:06,-0.265165043,-0.006987712,14,0,5,public,13
123,67881,"Fact Check: Did Obama Withdraw From Iraq Too Soon, Allowing ...","Jeb Bush """""" charge is that ISIS is President Obama's fault, because he withdrew troops from Iraq in 2011 """""" when he should have kept them",0,0,NPR,obama,12/19/15 10:07,-0.039528471,-0.406892711,1899,20,8,public,10
124,84747,"After Reaching Out His Hand, President Obama Will Step Foot In Cuba",Obama will be the first American president to visit Cuba since Calvin Coolidge arrived on a battleship in 1928. ,0,0,NPR,obama,3/19/16 2:04,-0.036084392,-0.014731391,391,6,30,public,2
125,10513,"Economy Doing Well, But Many San Diego Families Still Need ...","The holiday season is a time for gift giving, but not for all of us. Many San Diegans living paycheck-to-paycheck have a hard choice to make:",0,0,KPBS,economy,12/19/15 2:40,0.031314822,-0.08296738,5,1,0,public,2
126,66203,"No, a college ID does not show Barack Obama was a foreign ...","President Barack Obama is about to enter his eighth and final year in the Oval Office, but some people are still trying to say he was never",0,1,PolitiFact,obama,12/9/15 20:52,-0.233796789,-0.081333074,1137,27,0,public,20
127,53280,Venezuela Is Running Out Of Beer Amid Severe Economic Crisis,"It's not just these workers who are frustrated """""" Venezuela has fallen on hard economic times recently, even though it's home to the largest oil",0,0,NPR,economy,5/31/16 20:40,-0.132420377,-0.15523242,390,0,26,public,20
128,104558,"At 'Three Amigos' summit, Obama overshoots trade benefits ...","President Barack Obama joined Canadian Prime Minister Justin Trudeau and Mexican President Enrique Pena Nieto June 30, 2016,",0,1,PolitiFact,obama,7/5/16 21:20,0.044194174,0.072916667,15,1,1,public,21
129,98507,"Obama's Nuclear Paradox: Pushing For Cuts, Agreeing To Upgrades",Obama has sought to reduce the world's nuclear stockpile throughout his tenure. Yet he's also put the U.S. on course to spend some $1 trillion on upgrading its aging nuclear arsenal. ,-1,0,NPR,obama,5/26/16 12:25,0.041666667,0.124227001,11,7,2,public,12
130,36033,Sluggish Economy Doesn't Dampen Shanghai's Housing Prices,"China's economy is struggling. The currency and stock market are down. Growth continues to slow. Yet in Shanghai, people are scrambling to buy apartments as prices soar. Why? ",-1,0,NPR,economy,3/10/16 5:10,0.070868339,-0.200153843,-1,-1,-1,public,5
131,84100,President Obama To Name New Supreme Court Justice,President Obama will announce his choice of a successor to late Supreme Court Justice Antonin Scalia at 11 a.m. ET.,0,1,NPR,obama,3/16/16 11:10,0.340049615,0.307459347,28,1,5,public,11
132,98273,Obama Wraps Up Vietnam Visit; Heads To Japan,"Obama's last stop of his Asia visit is Japan. David Greene talks to Evan Medeiros, former chief adviser for Asia on the National Security Council.",0,1,NPR,obama,5/25/16 12:15,-0.018414239,-0.202604167,8,0,34,public,12
133,72221,Obama Closes His Run Of Speeches To Congress With Appeal For ...,It was perhaps fitting that the most memorable passage of President Obama's final State of the Union speech should come near its end.,0,1,NPR,obama,1/13/16 11:44,-0.032663729,0.003620042,99,4,5,public,11
134,24483,Obama Celebrates 'Durable Economy' As Unemployment Drops Below 5 Percent,"The January jobs report indicated the unemployment rate was 4.9, the lowest rate since the recession. But the U.S. only added 151,000 jobs, missing economists' expectations of 190,000 new jobs. ",1,0,NPR,economy,2/5/16 5:57,-0.041666667,-0.242789679,-1,-1,-1,public,5
135,96555,NC Governor Calls Obama Transgender Guidelines A 'Massive ...,NPR's Robert Siegel talks to North Carolina Gov. Pat McCrory on the state's bill requiring people to use the appropriate bathroom based on the,0,1,NPR,obama,5/13/16 0:00,-0.088388348,0.148840523,17,0,2,public,0
136,88712,"Barack Obama jumps the gun on U.S. uninsured rate, then reverses ...",President Barack Obama celebrated the sixth anniversary of the signing of the Affordable Care Act by touting its successes in reducing the,-1,1,PolitiFact,obama,4/5/16 20:32,0.072168784,-0.085872511,33,5,0,public,20
137,104743,Obama Slows Withdrawal Of US Troops From Afghanistan Again,President Obama announced Wednesday more U.S. troops than planned will remain in Afghanistan through the remainder of his presidency.,0,1,NPR,obama,7/6/16 22:00,-0.041666667,0.111803399,14,0,3,public,22
138,32687,Ivory Coast Struggles To Keep Economy Afloat After Terror Attack,"Bassam, as the sleepy, pretty town is known, is a short 25-mile ride from the economic capital and main city, Abidjan. Bassam is much favored",-1,0,NPR,economy,3/20/16 18:00,-0.434813178,-0.023583333,34,0,20,public,18
139,67847,"Shields and Brooks on Obama's year-end assessment, candidates ...","Syndicated columnist Mark Shields and New York Times columnist David Brooks join Judy Woodruff to discuss the week's news, including",0,0,PBS NewsHour,obama,12/19/15 2:04,0.041666667,0.163046623,30,0,0,public,2
140,22340,What happens when the sharing economy stops sharing and starts ...,"There's reason to believe that the so-called """"""sharing economy"""""" is a fleeting moment in economic history, says columnist Vikram Mansharamani.",-1,0,PBS NewsHour,economy,2/4/16 16:00,-0.079056942,0.015911721,108,20,6,public,16
141,64283,Obama Defends Current U.S. Strategy Against ISIS At G-20 Summit,"In the wake of the Paris attacks, President Obama defended his strategy to combat ISIS against criticism that the effort isn't working and he underestimated the threat posed by that group. Speaking at a gathering of world leaders in Turkey, Obama said the strategy to defeat ISIS will work over time and a massive deployment of U.S. troops is not the answer. ",0,1,NPR,obama,11/16/15 13:44,0,-0.301999738,-1,-1,-1,public,13
142,85491,How The Obama Presidency Has  Or Hasn't  Shaped Latino ...,"With a series we're calling The Obama Effect, the Code Switch team is digging into all sorts of questions about how President Obama's tenure",0,0,NPR,obama,3/22/16 23:09,0,0.102062073,40,0,5,public,23
143,862,Pressure Is On For Jeb Bush In Main Debate,"9:30 p.m. Fiorina gets into specifics on ways she would boost the economy. &quot;In addition to rolling back what President Obama has done, we",0,1,NPR,economy,11/11/15 2:49,-0.291666667,0.15,55,4,5,public,2
144,71075,Obama Administration Eyes Detention As More Central Americans Cross Border,"The Obama administration hopes to revive extended family detention, arguing it acts as a deterrent. Some border authorities agree. ",0,0,NPR,obama,12/11/15 16:52,-0.41900179,0.223043075,-1,-1,-1,public,16
145,100813,Obama's Tax Increase Has Reduced Income Inequality,"Income inequality declined abruptly in 2013 after President Obama and Congress negotiated an increase in taxes on the wealthiest Americans,",1,0,Mother Jones,obama,6/9/16 0:00,0,0.028676967,15,2,1,public,0
146,42441,Microsoft Sues US Over Gag Orders On Government Surveillance,Microsoft is suing the Justice Department over gag orders that bar the company from informing customers when the government seeks,0,1,NPR,microsoft,4/14/16 22:21,0.083333333,-0.055901699,16,0,22,public,22
147,30447,Sluggish Economy Doesn't Dampen Shanghai's Housing Prices,"China's economy is struggling. The currency and stock market are down. Growth continues to slow. Yet in Shanghai, people are scrambling to buy apartments even as prices soar. Why? ",0,0,NPR,economy,3/10/16 8:21,0.070868339,-0.203829649,20,2,14,public,8
148,96210,"Obama Visits Flint, Mich., To Address Toxic Water Crisis","President Obama visits Flint, Mich., where the community is still dealing with the effects of a toxic water crisis. ",0,1,NPR,obama,5/4/16 14:02,-0.0625,-0.082616976,-1,-1,-1,public,14
149,17067,"Amid Chinese Uncertainty, U.S. Economy Shows Strength With Jobs Report","After a frightening week for global financial markets, the U.S. economy showed real strength on Friday when the Labor Department released the December jobs report. It showed employers added 292,000 jobs, which is a strong number. ",0,0,NPR,economy,1/8/16 13:44,0.037688918,0.0125,-1,-1,-1,public,13
150,98692,"Shields and Brooks on Obama's historic Hiroshima visit, 'normalizing ...","Syndicated columnist Mark Shields and New York Times columnist David Brooks join Judy Woodruff to discuss the week in politics, including",0,0,PBS NewsHour,obama,5/28/16 1:15,-0.052083333,0.179575139,541,0,0,public,1
151,87430,Obama To Meet With Cuban President Raul Castro,"President Obama and Cuban President Raul Castro will meet on Monday, to discuss trade restrictions and human rights, among other things. ",0,1,NPR,obama,3/21/16 2:26,0.044194174,0.081831709,-1,-1,-1,public,2
152,66500,Greece Lawmakers Poised To Recognize 'Palestine',Greece’s parliament is scheduled to vote in favor of recognizing Palestinian statehood. ,0,1,The Forward,palestine,12/11/15 8:29,0.053866094,0.12326671,13,0,0,public,8
153,92974,"Obama Responds To 8-Year-Old's Email, Says He'll Visit Flint, Mich.","Eight-year-old Mari Copeny from Flint, Mich., sent President Obama a message last month. She told him about her activism on behalf of those",0,1,NPR,obama,4/28/16 1:55,-0.084800066,0.020833333,217,5,6,public,1
154,98993,Obama Awards Medal Of Valor To 13 Police Officers,President Obama on Monday awarded the Medal of Valor to 13 police officers for their exceptional courage. ,0,1,NPR,obama,5/16/16 13:43,0,0.03125,-1,-1,-1,public,13
155,104313,Obama's Years: Road Trip Colorado,Steve Inskeep talked to Americans across the country about how their lives have changed during Obama's time in office. Those conversations,0,0,NPR,obama,7/4/16 11:45,-0.079194074,0.163663418,18,0,2,public,11
156,53684,Buhair's lost year leaves Nigeria economy on knees,"Now, Africa's biggest economy is on its knees, forcing Buhari to throw in the towel on a central pillar of his economic policy - a currency peg.",-1,0,Salt Lake Tribune,economy,6/1/16 9:00,0.088388348,-0.049029034,64,0,1,public,9
157,80696,Black voters see fight over next Supreme Court justice as Obama snub,"Obama won't be on the ballot this fall, but Pennsylvania GOP Sen. Pat Toomey will """""" and Bowden has made defeating him in November a",-1,0,PBS NewsHour,obama,2/28/16 16:55,-0.115229491,0.06501732,1,1,0,public,16
158,99139,Obama's Lawyers Ask Texas Judge To Rethink Immigration Order,Hundreds gathered in front of the U.S. Supreme Court to show their support for President Obama's immigration executive action as the Court,0,0,Texas Tribune,obama,5/31/16 19:36,-0.125,0.134122553,57,0,0,public,19
159,75292,Vatican's Recognition of 'Palestine' Comes Into Effect With New Year,"An agreement signed last year making the Vatican’s de facto recognition of Palestine in 2012 official has come into effect, the Holy See said on Saturday. ",0,1,The Forward,palestine,1/2/16 13:40,-0.243758903,-0.042192207,-1,-1,-1,public,13
160,20480,Are the best days of the U.S. economy over?,"If you add up all of the innovations made from the late 1800s up to 1970, there's been no comparable stretch of economic growth, before or",-1,0,PBS NewsHour,economy,1/29/16 1:11,0,0.246875,136,46,5,public,1
161,51604,Will the new overtime regulations help or hurt the economy?,"Hanauer expects millions of Americans will see a raise, a prediction echoed by Economic Policy Institute's Ross Eisenbrey. Plus, he says",0,0,PBS NewsHour,economy,5/24/16 19:40,0,-0.017821128,49,3,6,public,19
162,98318,Texas Will Sue To Stop Obama Transgender Directive,"&quot;His lawsuit is challenging the way that the Obama administration is trampling the United States Constitution,&quot; Abbott said at a Round Rock stop",0,1,Texas Tribune,obama,5/25/16 17:58,-0.088388348,-0.0875,320,1,0,public,17
163,14746,Turmoil In China's Economy Shakes Investor Confidence,Thursday was shaping up to be another tumultuous day in the financial markets. Stock prices were falling after a big selloff in Asia and Europe.,0,1,NPR,economy,1/7/16 15:53,-0.094491118,0.105902778,28,0,14,public,15
164,95842,President Obama Plans Hiroshima Visit During Trip To Japan,The White House has announced that President Obama will become the first sitting U.S. president to visit Hiroshima when he travels to Japan,0,1,NPR,obama,5/10/16 15:35,-0.152777778,0.001417529,12,0,1,public,15
165,92040,"Obama, In London, Encourages Britain To Stay In The European ...","Britain holds a referendum this June on whether to leave the E.U. Lourdes Garcia-Navarro talks to the BBC's Jonny Dymond, who is covering",0,1,NPR,obama,4/22/16 12:55,-0.118585412,-0.075,9,0,1,public,12
166,84732,Critics Urge Obama To Focus On Human Rights In Historic Cuba Trip,President Obama once said he would go to Cuba only if the human rights situation on the island improved. Critics say he's crossed his own red,-1,0,NPR,obama,3/18/16 20:35,-0.033077359,-0.014981094,11,1,1,public,20
167,62524,Malaysian Leader Faces Corruption Scandal As He Prepares To ...,"The next stop on President Obama's Asia trip is Malaysia, a country considered a reliable U.S. ally. But this visit comes just as Malaysia's prime",-1,1,NPR,obama,11/19/15 0:00,0.052083333,-0.104186697,592,6,11,public,0
168,87729,Obama Questions Trump's Knowledge About Foreign Policy And 'The World Generally',"President Obama said Donald Trump's statements on nuclear issues show he &quot;doesn't know much about foreign policy, or nuclear policy, or the Korean Peninsula, or the world generally.&quot; ",0,1,NPR,obama,4/1/16 16:27,0.113066754,0.18509092,472,6,3,public,16
169,48877,Salt Lake City Mayor Jackie Biskupski names her economy czar,Mayor Jackie Biskupski has named a Maryland-based business consultant known for generating new jobs as Salt Lake City's new economic,0,1,Salt Lake Tribune,economy,5/11/16 23:39,0.079056942,-0.090924121,1,0,6,public,23
170,68095,Obama Makes 'No Apologies' For Fighting ISIS Within 'American ...,"Stressing that his administration has &quot;been at this for a long time,&quot; President Obama launched a forceful defense of his strategy against ISIS in",0,1,NPR,obama,12/21/15 10:07,0,0.070819715,680,33,17,public,10
171,66756,Obama plans weeklong series of events to explain ISIS strategy,President Barack Obama is flanked by military leaders as he delivers remarks after a briefing on U.S. efforts against the Islamic State at the,0,1,PBS NewsHour,obama,12/13/15 18:04,0.079056942,-0.1,4,2,0,public,18
172,19426,Oops. Tablet Outage In AFC Title Game Coincides With Microsoft Ad,"The National Football League signed a five-year, $400 million contract with Microsoft in 2013 that gives teams custom Microsoft Surface tablets",0,1,NPR,microsoft,1/25/16 20:31,-0.094222295,0.02795085,61,4,32,public,20
173,97441,"Obama To Travel To Flint, Where City Water Still Requires A Filter","President Obama visits Flint, Mich., on Wednesday for the first time since the water crisis began. Flint residents are still relying on bottled water and faucet filters to get safe drinking water. ",0,0,NPR,obama,5/4/16 3:09,-0.031788631,0.302635389,-1,-1,-1,public,3
174,90432,Obama Administration Issues New Rules For Offshore Drilling,"The Obama administration has issued new rules governing offshore drilling, six years after the Deepwater Horizon disaster killed 11 rig workers",0,0,NPR,obama,4/15/16 12:17,0.036828478,-0.053572462,93,2,31,public,12
175,62915,Obama On The Islamic State: 'We Will Destroy This Terrorist ...,"In no uncertain terms, President Obama promised to destroy the Islamic State. &quot;We are intensifying our strategy on all fronts, with local partners",0,0,NPR,obama,11/22/15 14:14,0.039528471,0.124388151,110,4,4,public,14
176,64588,Obama's Final State Of The Union Set For Jan. 12,The president was invited formally by House Speaker Paul Ryan. It will be a chance for Obama to lay out his agenda for his final 12 months in office. ,0,1,NPR,obama,11/30/15 12:48,-0.135,-0.248039185,23,1,3,public,12
177,98002,Obama Delivers Commencement Speech At Rutgers University,"President Obama gave his last graduation speech as a sitting president at Rutgers University in New Jersey on Sunday. He told the crowd that he was persuaded to come by a 3-year campaign, which included several letters from the grandmother of the student body president. ",0,1,NPR,obama,5/16/16 13:34,-0.01181139,-0.180645307,-1,-1,-1,public,13
178,73014,"Sanders: Obama was right, Clinton was wrong on Iran","President Barack Obama spoke Jan. 17, 2016 at the close of an extraordinary weekend of diplomacy with Iran that saw the release of five",0,1,PolitiFact,obama,1/17/16 23:05,-0.064353919,0.05565427,60,0,0,public,23
179,80076,Will Obama Nominate A Republican To Fill Supreme Court Vacancy?,Steve Inskeep talks to Mike DeBonis of The Washington Post about his report that President Obama is considering Republican Gov.,0,0,NPR,obama,2/25/16 12:35,0,0.111803399,32,0,1,public,12
180,95709,Obama allies use Trump to press GOP on Supreme Court nominee,"DES MOINES, Iowa """""" Proponents of President Barack Obama's Supreme Court nominee believe they have a new winning argument to get the",0,1,PBS NewsHour,obama,5/9/16 19:55,0.348622492,0.144539044,5,0,0,public,19
181,79477,Report: Obama Administration Makes 'No Progress' On Drone ...,"The Obama administration has made &quot;virtually no progress&quot; to increase transparency and accountability for its lethal drone program, a new",-1,0,NPR,obama,2/23/16 5:01,0.088388348,-0.153238015,131,26,7,public,5
182,43586,The Gig Economy Is Mostly a Myth,"The gig economy. Uber for X. The on-demand revolution. Crappy part-time work with no benefits or job security. Call it what you will, but it's big.",0,0,Mother Jones,economy,4/19/16 18:21,-0.094491118,0.057088384,16,2,5,public,18
183,98505,"Obama's Nuclear Paradox: Pushing For Cuts, Agreeing To Upgrades","President Obama came into office with a dream of a world without nuclear weapons, and he's sure to touch on this theme Friday when he",-1,0,NPR,obama,5/26/16 20:15,0.041666667,0.00420381,11,7,2,public,20
184,69926,A Once-Passionate Obama Campaigner Sits Out The 2016 Races,"Anton Gunn rose in the ranks from local activist to working in the Obama White House. He's now in South Carolina, disengaged from national",0,0,NPR,obama,1/2/16 13:01,-0.125,0.039690806,44,0,8,public,13
185,16302,Obama Touts US Economy In His Final State Of The Union,President Obama began his State of the Union Tuesday night with what he called a fact: The United States of America now has the strongest,0,1,NPR,economy,1/13/16 11:39,-0.113066754,0.025,24,0,11,public,11
186,97403,"Obama To Travel To Flint, Where City Water Still Requires A Filter","President Obama visits Flint, Michigan, on Wednesday for the first time since the city's water crisis began. Flint residents are still relying on bottled water and faucet filters to get safe drinking water. ",0,0,NPR,obama,5/4/16 2:45,-0.031788631,0.29801473,-1,-1,-1,public,2
187,54657,How Donald Trump Could Benefit In November From A Bad Economy,"The latest jobs report was downright ugly. Lots of people seem to agree on that. The economy only added 38,000 jobs in May, well below the",0,0,NPR,economy,6/6/16 18:23,-0.147538013,0.216134598,44,3,6,public,18
188,104554,"Obama Campaigns With Hillary Clinton In Charlotte, NC","President Obama campaigned with Hillary Clinton for the first time this year at a rally in Charlotte, N.C., Tuesday. Facebook; Twitter. Google+.",0,1,NPR,obama,7/5/16 21:36,0,0.097741132,10,0,4,public,21
189,69102,Watch President Obama Put A Question To The Candidates For His ...,"In a recent interview with NPR, President Obama talks about what question he'd pose to the people who want his job """""" that is, the current field",0,1,NPR,obama,12/28/15 10:24,-0.012562973,0.158322922,331,37,21,public,10
190,104345,Immigration stands as Obama's most glaring failure,WASHINGTON — President Barack Obama's inability to overhaul the nation's immigration system will stand as the most glaring failure in his,-1,0,PBS NewsHour,obama,7/4/16 16:53,0.020669932,-0.071624052,81,1,1,public,16
191,103539,Obama Answers Critics That He Hasn't Done Enough To Help Black ...,Steve Inkeep talks to President Obama about how race relations have evolved during his presidency. The president says you can always find,0,0,NPR,obama,6/29/16 10:40,-0.166459388,0.059962701,55,2,2,public,10
192,77558,Did Bernie Sanders call President Barack Obama 'weak' and 'a ...,"Clinton said, &quot;In the past, (Sanders) has called (Obama) weak. He's called him a disappointment.&quot; For emphasis, she later repeated the charge",0,1,PolitiFact,obama,2/12/16 6:15,0.04364602,-0.018427874,389,8,0,public,6
193,102853,Undocumented Mother &amp; U.S. Citizen Daughter Call on Obama to ...,"As a split Supreme Court blocks President Obama's Deferred Action for Parents of Americans program, or DAPA, which would have shielded",0,0,Democracy Now!,obama,6/24/16 15:35,0.116992683,0.068193091,204,6,1,public,15
194,19,Column: Why the cure for a sluggish economy is actually longer ...,Economists have long dismissed the idea that an economy could suffer from a persistent shortfall in demand. While most acknowledged that in,0,0,PBS NewsHour,economy,11/9/15 22:40,-0.047111148,-0.060554926,661,3,5,public,22
195,100658,"Obama Returns To Elkhart, Ind., To Tout Economic Recovery","President Obama returns to Elkhart, Ind., the first town he visited as president and a symbol of the recession. He went on Wednesday to tout economic recovery with an eye toward his successor. ",0,1,NPR,obama,6/1/16 13:40,0,0.01631978,-1,-1,-1,public,13
196,82644,Obama Begins Interviewing Potential Supreme Court Nominees,President Obama is said to be interviewing candidates to replace the late Supreme Court Justice Antonin Scalia.,0,1,NPR,obama,3/9/16 21:28,0.295284745,0.151584766,18,0,2,public,21
197,20409,Why Cheap Gas Might Not Be Good For The US Economy,"&quot;Is it possible that lower oil prices could actually hurt the U.S. economy?&quot; asks economist Vipin Arora, an economist with the U.S. Energy",0,0,NPR,economy,1/28/16 22:31,-0.445200345,0.013771891,463,6,27,public,22
198,53308,Op-ed: Seeds of today's economy were sown in dark days of 2009,"In early 2009, the economic situation facing the United States was truly frightening. I had joined President Obama's campaign in the summer of",0,0,Salt Lake Tribune,economy,6/1/16 1:40,-0.066154718,-0.143022147,2,0,0,public,1
199,86374,Freedom Is a Constant Struggle: Angela Davis on Ferguson ...,"Her latest book is titled &quot;Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement,&quot; a collection of essays,",0,0,Democracy Now!,palestine,3/28/16 15:28,0.020833333,-0.14033535,534,17,2,public,15
200,72435,Poland Gives High Honor to a Top Palestinian Official,"The Palestinian Authority’s Minister of Information, Mahmoud Khalifa, was awarded the Order of Merit of the Republic of Poland, one of the highest honors that can be given to a foreigner. ",0,1,The Forward,palestine,1/14/16 4:47,0.095833333,0,3,0,0,public,4
201,104080,The Obama Administration Finally Revealed How Many Civilians ...,"The Obama administration announced on Friday that the United States has killed a much lower number of civilians in drone strikes in Pakistan,",0,0,Mother Jones,obama,7/1/16 21:20,0.088388348,-0.049869697,-1,1,0,public,21
202,100571,Pa. County Democratic Chairman Doubts Sanders Supporters Would Switch To Trump,"Polls say if Hillary Clinton is the nominee, some Bernie Sanders supporters would shift alliances to Donald Trump. David Greene talks to Jim Davis, the Democratic Party Chairman in Fayette County, Pa. ",0,1,NPR,obama,5/26/16 2:24,0,0.121533978,-1,-1,-1,public,2
